"","date","county","state","fips","cases","deaths"
"23543","2020-03-31","Fort Bend","Texas",48157,138,2
"23544","2020-03-31","Franklin","Texas",48159,1,0
"23545","2020-03-31","Gaines","Texas",48165,1,0
"23546","2020-03-31","Galveston","Texas",48167,106,0
"23547","2020-03-31","Grayson","Texas",48181,7,0
"23548","2020-03-31","Gregg","Texas",48183,5,0
"23549","2020-03-31","Grimes","Texas",48185,3,0
"23550","2020-03-31","Guadalupe","Texas",48187,15,0
"23551","2020-03-31","Hale","Texas",48189,1,0
"23552","2020-03-31","Hardin","Texas",48199,12,1
"23553","2020-03-31","Harris","Texas",48201,680,6
"23554","2020-03-31","Harrison","Texas",48203,1,0
"23555","2020-03-31","Hays","Texas",48209,24,0
"23556","2020-03-31","Henderson","Texas",48213,1,0
"23557","2020-03-31","Hidalgo","Texas",48215,38,0
"23558","2020-03-31","Hill","Texas",48217,1,0
"23559","2020-03-31","Hockley","Texas",48219,7,0
"23560","2020-03-31","Hood","Texas",48221,6,0
"23561","2020-03-31","Hopkins","Texas",48223,3,0
"23562","2020-03-31","Hunt","Texas",48231,4,0
"23563","2020-03-31","Jackson","Texas",48239,1,0
"23564","2020-03-31","Jefferson","Texas",48245,18,0
"23565","2020-03-31","Johnson","Texas",48251,8,0
"23566","2020-03-31","Karnes","Texas",48255,2,0
"23567","2020-03-31","Kaufman","Texas",48257,3,0
"23568","2020-03-31","Kendall","Texas",48259,7,0
"23569","2020-03-31","Kleberg","Texas",48273,1,0
"23570","2020-03-31","Lamar","Texas",48277,3,0
"23571","2020-03-31","Lamb","Texas",48279,1,0
"23572","2020-03-31","Lavaca","Texas",48285,1,0
"23573","2020-03-31","Leon","Texas",48289,1,0
"23574","2020-03-31","Liberty","Texas",48291,2,0
"23575","2020-03-31","Limestone","Texas",48293,2,0
"23576","2020-03-31","Llano","Texas",48299,3,0
"23577","2020-03-31","Lubbock","Texas",48303,77,1
"23578","2020-03-31","Lynn","Texas",48305,2,0
"23579","2020-03-31","Martin","Texas",48317,1,0
"23580","2020-03-31","Matagorda","Texas",48321,27,2
"23581","2020-03-31","Maverick","Texas",48323,1,0
"23582","2020-03-31","McLennan","Texas",48309,39,1
"23583","2020-03-31","Medina","Texas",48325,3,0
"23584","2020-03-31","Midland","Texas",48329,13,1
"23585","2020-03-31","Milam","Texas",48331,2,0
"23586","2020-03-31","Montague","Texas",48337,1,0
"23587","2020-03-31","Montgomery","Texas",48339,81,0
"23588","2020-03-31","Moore","Texas",48341,1,0
"23589","2020-03-31","Morris","Texas",48343,1,0
"23590","2020-03-31","Nacogdoches","Texas",48347,2,0
"23591","2020-03-31","Navarro","Texas",48349,3,0
"23592","2020-03-31","Nueces","Texas",48355,31,0
"23593","2020-03-31","Oldham","Texas",48359,2,1
"23594","2020-03-31","Orange","Texas",48361,5,0
"23595","2020-03-31","Parker","Texas",48367,4,0
"23596","2020-03-31","Polk","Texas",48373,4,0
"23597","2020-03-31","Potter","Texas",48375,5,0
"23598","2020-03-31","Randall","Texas",48381,6,0
"23599","2020-03-31","Robertson","Texas",48395,2,0
"23600","2020-03-31","Rockwall","Texas",48397,5,0
"23601","2020-03-31","Rusk","Texas",48401,3,0
"23602","2020-03-31","San Jacinto","Texas",48407,1,0
"23603","2020-03-31","San Patricio","Texas",48409,1,0
"23604","2020-03-31","Shelby","Texas",48419,2,0
"23605","2020-03-31","Smith","Texas",48423,32,1
"23606","2020-03-31","Starr","Texas",48427,2,0
"23607","2020-03-31","Swisher","Texas",48437,1,0
"23608","2020-03-31","Tarrant","Texas",48439,175,1
"23609","2020-03-31","Taylor","Texas",48441,11,0
"23610","2020-03-31","Terry","Texas",48445,4,0
"23611","2020-03-31","Tom Green","Texas",48451,6,0
"23612","2020-03-31","Travis","Texas",48453,206,2
"23613","2020-03-31","Upshur","Texas",48459,2,0
"23614","2020-03-31","Uvalde","Texas",48463,2,0
"23615","2020-03-31","Val Verde","Texas",48465,5,0
"23616","2020-03-31","Van Zandt","Texas",48467,2,1
"23617","2020-03-31","Victoria","Texas",48469,9,0
"23618","2020-03-31","Walker","Texas",48471,3,0
"23619","2020-03-31","Waller","Texas",48473,3,0
"23620","2020-03-31","Washington","Texas",48477,8,0
"23621","2020-03-31","Webb","Texas",48479,37,2
"23622","2020-03-31","Wharton","Texas",48481,6,0
"23623","2020-03-31","Wichita","Texas",48485,30,0
"23624","2020-03-31","Willacy","Texas",48489,2,0
"23625","2020-03-31","Williamson","Texas",48491,42,1
"23626","2020-03-31","Wilson","Texas",48493,3,0
"23627","2020-03-31","Wise","Texas",48497,1,0
"23628","2020-03-31","Young","Texas",48503,1,0
"25709","2020-04-01","Anderson","Texas",48001,1,0
"25710","2020-04-01","Angelina","Texas",48005,5,0
"25711","2020-04-01","Atascosa","Texas",48013,2,0
"25712","2020-04-01","Austin","Texas",48015,2,0
"25713","2020-04-01","Bastrop","Texas",48021,8,0
"25714","2020-04-01","Bell","Texas",48027,44,1
"25715","2020-04-01","Bexar","Texas",48029,229,9
"25716","2020-04-01","Blanco","Texas",48031,1,0
"25717","2020-04-01","Bowie","Texas",48037,9,0
"25718","2020-04-01","Brazoria","Texas",48039,95,1
"25719","2020-04-01","Brazos","Texas",48041,63,3
"25720","2020-04-01","Brown","Texas",48049,3,0
"25721","2020-04-01","Burleson","Texas",48051,1,0
"25722","2020-04-01","Burnet","Texas",48053,3,0
"25723","2020-04-01","Caldwell","Texas",48055,1,0
"25724","2020-04-01","Calhoun","Texas",48057,7,0
"25725","2020-04-01","Cameron","Texas",48061,26,0
"25726","2020-04-01","Camp","Texas",48063,1,0
"25727","2020-04-01","Cass","Texas",48067,3,0
"25728","2020-04-01","Castro","Texas",48069,8,0
"25729","2020-04-01","Chambers","Texas",48071,9,0
"25730","2020-04-01","Cherokee","Texas",48073,4,0
"25731","2020-04-01","Clay","Texas",48077,1,0
"25732","2020-04-01","Collin","Texas",48085,184,1
"25733","2020-04-01","Colorado","Texas",48089,2,0
"25734","2020-04-01","Comal","Texas",48091,12,2
"25735","2020-04-01","Comanche","Texas",48093,1,0
"25736","2020-04-01","Coryell","Texas",48099,1,0
"25737","2020-04-01","Crane","Texas",48103,2,0
"25738","2020-04-01","Dallas","Texas",48113,731,15
"25739","2020-04-01","Dawson","Texas",48115,3,0
"25740","2020-04-01","DeWitt","Texas",48123,4,0
"25741","2020-04-01","Deaf Smith","Texas",48117,2,0
"25742","2020-04-01","Denton","Texas",48121,231,4
"25743","2020-04-01","Eastland","Texas",48133,3,0
"25744","2020-04-01","Ector","Texas",48135,11,0
"25745","2020-04-01","El Paso","Texas",48141,50,0
"25746","2020-04-01","Ellis","Texas",48139,20,1
"25747","2020-04-01","Erath","Texas",48143,2,0
"25748","2020-04-01","Falls","Texas",48145,1,0
"25749","2020-04-01","Fannin","Texas",48147,1,0
"25750","2020-04-01","Fayette","Texas",48149,4,0
"25751","2020-04-01","Fort Bend","Texas",48157,163,2
"25752","2020-04-01","Franklin","Texas",48159,1,0
"25753","2020-04-01","Gaines","Texas",48165,1,0
"25754","2020-04-01","Galveston","Texas",48167,118,0
"25755","2020-04-01","Gonzales","Texas",48177,1,0
"25756","2020-04-01","Gray","Texas",48179,1,0
"25757","2020-04-01","Grayson","Texas",48181,8,0
"25758","2020-04-01","Gregg","Texas",48183,6,0
"25759","2020-04-01","Grimes","Texas",48185,3,0
"25760","2020-04-01","Guadalupe","Texas",48187,17,0
"25761","2020-04-01","Hale","Texas",48189,1,0
"25762","2020-04-01","Hardin","Texas",48199,13,1
"25763","2020-04-01","Harris","Texas",48201,847,6
"25764","2020-04-01","Harrison","Texas",48203,3,0
"25765","2020-04-01","Hays","Texas",48209,38,0
"25766","2020-04-01","Henderson","Texas",48213,1,0
"25767","2020-04-01","Hidalgo","Texas",48215,46,0
"25768","2020-04-01","Hill","Texas",48217,2,0
"25769","2020-04-01","Hockley","Texas",48219,7,0
"25770","2020-04-01","Hood","Texas",48221,6,0
"25771","2020-04-01","Hopkins","Texas",48223,3,0
"25772","2020-04-01","Hunt","Texas",48231,4,0
"25773","2020-04-01","Jackson","Texas",48239,1,0
"25774","2020-04-01","Jefferson","Texas",48245,27,0
"25775","2020-04-01","Johnson","Texas",48251,12,0
"25776","2020-04-01","Karnes","Texas",48255,2,0
"25777","2020-04-01","Kaufman","Texas",48257,4,0
"25778","2020-04-01","Kendall","Texas",48259,7,0
"25779","2020-04-01","Kerr","Texas",48265,1,0
"25780","2020-04-01","Kleberg","Texas",48273,1,0
"25781","2020-04-01","Lamar","Texas",48277,3,0
"25782","2020-04-01","Lamb","Texas",48279,1,0
"25783","2020-04-01","Lavaca","Texas",48285,1,0
"25784","2020-04-01","Leon","Texas",48289,2,0
"25785","2020-04-01","Liberty","Texas",48291,3,0
"25786","2020-04-01","Limestone","Texas",48293,2,0
"25787","2020-04-01","Live Oak","Texas",48297,1,0
"25788","2020-04-01","Llano","Texas",48299,3,0
"25789","2020-04-01","Lubbock","Texas",48303,100,2
"25790","2020-04-01","Lynn","Texas",48305,2,0
"25791","2020-04-01","Martin","Texas",48317,1,0
"25792","2020-04-01","Matagorda","Texas",48321,29,2
"25793","2020-04-01","Maverick","Texas",48323,1,0
"25794","2020-04-01","McLennan","Texas",48309,48,1
"25795","2020-04-01","Medina","Texas",48325,3,0
"25796","2020-04-01","Midland","Texas",48329,16,1
"25797","2020-04-01","Milam","Texas",48331,2,0
"25798","2020-04-01","Montague","Texas",48337,1,0
"25799","2020-04-01","Montgomery","Texas",48339,110,2
"25800","2020-04-01","Moore","Texas",48341,1,0
"25801","2020-04-01","Morris","Texas",48343,1,0
"25802","2020-04-01","Nacogdoches","Texas",48347,4,0
"25803","2020-04-01","Navarro","Texas",48349,4,0
"25804","2020-04-01","Newton","Texas",48351,1,0
"25805","2020-04-01","Nueces","Texas",48355,34,0
"25806","2020-04-01","Oldham","Texas",48359,2,1
"25807","2020-04-01","Orange","Texas",48361,7,0
"25808","2020-04-01","Parker","Texas",48367,4,0
"25809","2020-04-01","Polk","Texas",48373,4,0
"25810","2020-04-01","Potter","Texas",48375,16,0
"25811","2020-04-01","Randall","Texas",48381,17,0
"25812","2020-04-01","Robertson","Texas",48395,2,0
"25813","2020-04-01","Rockwall","Texas",48397,9,0
"25814","2020-04-01","Rusk","Texas",48401,5,0
"25815","2020-04-01","San Augustine","Texas",48405,1,0
"25816","2020-04-01","San Jacinto","Texas",48407,1,0
"25817","2020-04-01","San Patricio","Texas",48409,2,0
"25818","2020-04-01","Shelby","Texas",48419,2,0
"25819","2020-04-01","Smith","Texas",48423,43,1
"25820","2020-04-01","Starr","Texas",48427,4,0
"25821","2020-04-01","Swisher","Texas",48437,1,0
"25822","2020-04-01","Tarrant","Texas",48439,288,3
"25823","2020-04-01","Taylor","Texas",48441,14,0
"25824","2020-04-01","Terry","Texas",48445,4,0
"25825","2020-04-01","Tom Green","Texas",48451,9,0
"25826","2020-04-01","Travis","Texas",48453,244,2
"25827","2020-04-01","Upshur","Texas",48459,2,0
"25828","2020-04-01","Uvalde","Texas",48463,4,0
"25829","2020-04-01","Val Verde","Texas",48465,5,0
"25830","2020-04-01","Van Zandt","Texas",48467,2,1
"25831","2020-04-01","Victoria","Texas",48469,16,0
"25832","2020-04-01","Walker","Texas",48471,5,0
"25833","2020-04-01","Waller","Texas",48473,3,0
"25834","2020-04-01","Washington","Texas",48477,17,0
"25835","2020-04-01","Webb","Texas",48479,45,2
"25836","2020-04-01","Wharton","Texas",48481,7,0
"25837","2020-04-01","Wichita","Texas",48485,38,0
"25838","2020-04-01","Willacy","Texas",48489,2,0
"25839","2020-04-01","Williamson","Texas",48491,55,1
"25840","2020-04-01","Wilson","Texas",48493,5,0
"25841","2020-04-01","Wise","Texas",48497,3,0
"25842","2020-04-01","Wood","Texas",48499,1,0
"25843","2020-04-01","Young","Texas",48503,3,0
"27989","2020-04-02","Anderson","Texas",48001,1,0
"27990","2020-04-02","Angelina","Texas",48005,5,0
"27991","2020-04-02","Atascosa","Texas",48013,2,0
"27992","2020-04-02","Austin","Texas",48015,4,0
"27993","2020-04-02","Bastrop","Texas",48021,10,0
"27994","2020-04-02","Bell","Texas",48027,46,1
"27995","2020-04-02","Bexar","Texas",48029,254,9
"27996","2020-04-02","Blanco","Texas",48031,1,0
"27997","2020-04-02","Bowie","Texas",48037,9,0
"27998","2020-04-02","Brazoria","Texas",48039,109,1
"27999","2020-04-02","Brazos","Texas",48041,68,4
"28000","2020-04-02","Brown","Texas",48049,3,0
"28001","2020-04-02","Burleson","Texas",48051,1,0
"28002","2020-04-02","Burnet","Texas",48053,4,0
"28003","2020-04-02","Caldwell","Texas",48055,1,0
"28004","2020-04-02","Calhoun","Texas",48057,8,0
"28005","2020-04-02","Cameron","Texas",48061,37,0
"28006","2020-04-02","Camp","Texas",48063,1,0
"28007","2020-04-02","Cass","Texas",48067,4,0
"28008","2020-04-02","Castro","Texas",48069,8,0
"28009","2020-04-02","Chambers","Texas",48071,9,0
"28010","2020-04-02","Cherokee","Texas",48073,5,0
"28011","2020-04-02","Clay","Texas",48077,1,0
"28012","2020-04-02","Collin","Texas",48085,207,1
"28013","2020-04-02","Colorado","Texas",48089,2,0
"28014","2020-04-02","Comal","Texas",48091,12,2
"28015","2020-04-02","Comanche","Texas",48093,1,0
"28016","2020-04-02","Coryell","Texas",48099,1,0
"28017","2020-04-02","Crane","Texas",48103,2,0
"28018","2020-04-02","Dallas","Texas",48113,831,17
"28019","2020-04-02","Dawson","Texas",48115,3,0
"28020","2020-04-02","DeWitt","Texas",48123,4,0
"28021","2020-04-02","Deaf Smith","Texas",48117,2,0
"28022","2020-04-02","Denton","Texas",48121,254,5
"28023","2020-04-02","Donley","Texas",48129,1,0
"28024","2020-04-02","Eastland","Texas",48133,3,0
"28025","2020-04-02","Ector","Texas",48135,12,0
"28026","2020-04-02","El Paso","Texas",48141,68,0
"28027","2020-04-02","Ellis","Texas",48139,26,1
"28028","2020-04-02","Erath","Texas",48143,2,0
"28029","2020-04-02","Falls","Texas",48145,1,0
"28030","2020-04-02","Fannin","Texas",48147,1,0
"28031","2020-04-02","Fayette","Texas",48149,4,0
"28032","2020-04-02","Fort Bend","Texas",48157,194,2
"28033","2020-04-02","Franklin","Texas",48159,1,0
"28034","2020-04-02","Gaines","Texas",48165,1,0
"28035","2020-04-02","Galveston","Texas",48167,130,0
"28036","2020-04-02","Gillespie","Texas",48171,1,0
"28037","2020-04-02","Goliad","Texas",48175,1,0
"28038","2020-04-02","Gonzales","Texas",48177,1,0
"28039","2020-04-02","Gray","Texas",48179,1,0
"28040","2020-04-02","Grayson","Texas",48181,11,0
"28041","2020-04-02","Gregg","Texas",48183,7,0
"28042","2020-04-02","Grimes","Texas",48185,3,0
"28043","2020-04-02","Guadalupe","Texas",48187,20,0
"28044","2020-04-02","Hale","Texas",48189,1,0
"28045","2020-04-02","Hardin","Texas",48199,14,1
"28046","2020-04-02","Harris","Texas",48201,895,10
"28047","2020-04-02","Harrison","Texas",48203,5,0
"28048","2020-04-02","Hays","Texas",48209,42,0
"28049","2020-04-02","Henderson","Texas",48213,1,0
"28050","2020-04-02","Hidalgo","Texas",48215,62,0
"28051","2020-04-02","Hill","Texas",48217,3,0
"28052","2020-04-02","Hockley","Texas",48219,7,0
"28053","2020-04-02","Hood","Texas",48221,7,0
"28054","2020-04-02","Hopkins","Texas",48223,3,0
"28055","2020-04-02","Hunt","Texas",48231,4,0
"28056","2020-04-02","Jackson","Texas",48239,2,0
"28057","2020-04-02","Jasper","Texas",48241,2,0
"28058","2020-04-02","Jefferson","Texas",48245,31,0
"28059","2020-04-02","Jim Wells","Texas",48249,1,0
"28060","2020-04-02","Johnson","Texas",48251,17,0
"28061","2020-04-02","Karnes","Texas",48255,2,0
"28062","2020-04-02","Kaufman","Texas",48257,5,0
"28063","2020-04-02","Kendall","Texas",48259,8,0
"28064","2020-04-02","Kerr","Texas",48265,1,0
"28065","2020-04-02","Kleberg","Texas",48273,2,0
"28066","2020-04-02","Lamar","Texas",48277,3,0
"28067","2020-04-02","Lamb","Texas",48279,1,0
"28068","2020-04-02","Lavaca","Texas",48285,1,0
"28069","2020-04-02","Lee","Texas",48287,1,0
"28070","2020-04-02","Leon","Texas",48289,2,0
"28071","2020-04-02","Liberty","Texas",48291,4,0
"28072","2020-04-02","Limestone","Texas",48293,3,0
"28073","2020-04-02","Live Oak","Texas",48297,2,0
"28074","2020-04-02","Llano","Texas",48299,3,0
"28075","2020-04-02","Lubbock","Texas",48303,108,3
"28076","2020-04-02","Lynn","Texas",48305,3,0
"28077","2020-04-02","Martin","Texas",48317,1,0
"28078","2020-04-02","Matagorda","Texas",48321,32,2
"28079","2020-04-02","Maverick","Texas",48323,3,0
"28080","2020-04-02","McLennan","Texas",48309,48,1
"28081","2020-04-02","Medina","Texas",48325,3,0
"28082","2020-04-02","Midland","Texas",48329,16,1
"28083","2020-04-02","Milam","Texas",48331,2,0
"28084","2020-04-02","Montague","Texas",48337,1,0
"28085","2020-04-02","Montgomery","Texas",48339,110,2
"28086","2020-04-02","Moore","Texas",48341,6,0
"28087","2020-04-02","Morris","Texas",48343,1,0
"28088","2020-04-02","Nacogdoches","Texas",48347,5,0
"28089","2020-04-02","Navarro","Texas",48349,4,1
"28090","2020-04-02","Newton","Texas",48351,1,0
"28091","2020-04-02","Nueces","Texas",48355,40,0
"28092","2020-04-02","Oldham","Texas",48359,2,1
"28093","2020-04-02","Orange","Texas",48361,7,0
"28094","2020-04-02","Palo Pinto","Texas",48363,1,0
"28095","2020-04-02","Panola","Texas",48365,3,0
"28096","2020-04-02","Parker","Texas",48367,4,0
"28097","2020-04-02","Polk","Texas",48373,4,0
"28098","2020-04-02","Potter","Texas",48375,16,0
"28099","2020-04-02","Randall","Texas",48381,17,0
"28100","2020-04-02","Robertson","Texas",48395,2,0
"28101","2020-04-02","Rockwall","Texas",48397,10,0
"28102","2020-04-02","Rusk","Texas",48401,6,0
"28103","2020-04-02","San Augustine","Texas",48405,1,0
"28104","2020-04-02","San Jacinto","Texas",48407,1,0
"28105","2020-04-02","San Patricio","Texas",48409,2,0
"28106","2020-04-02","Shelby","Texas",48419,4,0
"28107","2020-04-02","Smith","Texas",48423,47,1
"28108","2020-04-02","Starr","Texas",48427,4,0
"28109","2020-04-02","Swisher","Texas",48437,1,0
"28110","2020-04-02","Tarrant","Texas",48439,325,6
"28111","2020-04-02","Taylor","Texas",48441,14,0
"28112","2020-04-02","Terry","Texas",48445,4,0
"28113","2020-04-02","Tom Green","Texas",48451,9,0
"28114","2020-04-02","Travis","Texas",48453,305,3
"28115","2020-04-02","Upshur","Texas",48459,3,0
"28116","2020-04-02","Uvalde","Texas",48463,4,0
"28117","2020-04-02","Val Verde","Texas",48465,5,0
"28118","2020-04-02","Van Zandt","Texas",48467,3,1
"28119","2020-04-02","Victoria","Texas",48469,20,0
"28120","2020-04-02","Walker","Texas",48471,7,0
"28121","2020-04-02","Waller","Texas",48473,7,0
"28122","2020-04-02","Washington","Texas",48477,17,0
"28123","2020-04-02","Webb","Texas",48479,57,3
"28124","2020-04-02","Wharton","Texas",48481,9,0
"28125","2020-04-02","Wichita","Texas",48485,43,0
"28126","2020-04-02","Willacy","Texas",48489,3,0
"28127","2020-04-02","Williamson","Texas",48491,55,1
"28128","2020-04-02","Wilson","Texas",48493,5,0
"28129","2020-04-02","Wise","Texas",48497,3,0
"28130","2020-04-02","Wood","Texas",48499,1,0
"28131","2020-04-02","Young","Texas",48503,3,0
"30324","2020-04-03","Anderson","Texas",48001,1,0
"30325","2020-04-03","Angelina","Texas",48005,8,0
"30326","2020-04-03","Atascosa","Texas",48013,2,0
"30327","2020-04-03","Austin","Texas",48015,4,0
"30328","2020-04-03","Bastrop","Texas",48021,10,0
"30329","2020-04-03","Bell","Texas",48027,51,1
"30330","2020-04-03","Bexar","Texas",48029,342,10
"30331","2020-04-03","Blanco","Texas",48031,1,0
"30332","2020-04-03","Bowie","Texas",48037,10,0
"30333","2020-04-03","Brazoria","Texas",48039,123,1
"30334","2020-04-03","Brazos","Texas",48041,72,4
"30335","2020-04-03","Brown","Texas",48049,4,0
"30336","2020-04-03","Burleson","Texas",48051,1,0
"30337","2020-04-03","Burnet","Texas",48053,4,0
"30338","2020-04-03","Caldwell","Texas",48055,2,0
"30339","2020-04-03","Calhoun","Texas",48057,8,0
"30340","2020-04-03","Cameron","Texas",48061,55,0
"30341","2020-04-03","Camp","Texas",48063,1,0
"30342","2020-04-03","Cass","Texas",48067,4,0
"30343","2020-04-03","Castro","Texas",48069,9,0
"30344","2020-04-03","Chambers","Texas",48071,11,0
"30345","2020-04-03","Cherokee","Texas",48073,5,0
"30346","2020-04-03","Clay","Texas",48077,1,0
"30347","2020-04-03","Collin","Texas",48085,227,2
"30348","2020-04-03","Colorado","Texas",48089,4,0
"30349","2020-04-03","Comal","Texas",48091,18,2
"30350","2020-04-03","Comanche","Texas",48093,1,0
"30351","2020-04-03","Coryell","Texas",48099,2,0
"30352","2020-04-03","Crane","Texas",48103,2,0
"30353","2020-04-03","Dallas","Texas",48113,921,17
"30354","2020-04-03","Dawson","Texas",48115,3,0
"30355","2020-04-03","DeWitt","Texas",48123,6,0
"30356","2020-04-03","Deaf Smith","Texas",48117,3,0
"30357","2020-04-03","Denton","Texas",48121,273,6
"30358","2020-04-03","Donley","Texas",48129,5,0
"30359","2020-04-03","Eastland","Texas",48133,3,0
"30360","2020-04-03","Ector","Texas",48135,15,0
"30361","2020-04-03","El Paso","Texas",48141,78,0
"30362","2020-04-03","Ellis","Texas",48139,27,1
"30363","2020-04-03","Erath","Texas",48143,3,1
"30364","2020-04-03","Falls","Texas",48145,1,0
"30365","2020-04-03","Fannin","Texas",48147,2,0
"30366","2020-04-03","Fayette","Texas",48149,10,0
"30367","2020-04-03","Fort Bend","Texas",48157,221,2
"30368","2020-04-03","Franklin","Texas",48159,1,0
"30369","2020-04-03","Gaines","Texas",48165,1,0
"30370","2020-04-03","Galveston","Texas",48167,206,0
"30371","2020-04-03","Gillespie","Texas",48171,1,0
"30372","2020-04-03","Goliad","Texas",48175,1,0
"30373","2020-04-03","Gonzales","Texas",48177,1,0
"30374","2020-04-03","Gray","Texas",48179,1,0
"30375","2020-04-03","Grayson","Texas",48181,12,0
"30376","2020-04-03","Gregg","Texas",48183,8,0
"30377","2020-04-03","Grimes","Texas",48185,3,0
"30378","2020-04-03","Guadalupe","Texas",48187,23,0
"30379","2020-04-03","Hale","Texas",48189,6,0
"30380","2020-04-03","Hardin","Texas",48199,15,1
"30381","2020-04-03","Harris","Texas",48201,1036,12
"30382","2020-04-03","Harrison","Texas",48203,5,1
"30383","2020-04-03","Hays","Texas",48209,47,0
"30384","2020-04-03","Henderson","Texas",48213,1,0
"30385","2020-04-03","Hidalgo","Texas",48215,79,0
"30386","2020-04-03","Hill","Texas",48217,3,0
"30387","2020-04-03","Hockley","Texas",48219,7,1
"30388","2020-04-03","Hood","Texas",48221,8,1
"30389","2020-04-03","Hopkins","Texas",48223,3,0
"30390","2020-04-03","Hunt","Texas",48231,8,0
"30391","2020-04-03","Jackson","Texas",48239,3,0
"30392","2020-04-03","Jasper","Texas",48241,2,0
"30393","2020-04-03","Jefferson","Texas",48245,40,2
"30394","2020-04-03","Jim Wells","Texas",48249,1,0
"30395","2020-04-03","Johnson","Texas",48251,18,0
"30396","2020-04-03","Karnes","Texas",48255,2,0
"30397","2020-04-03","Kaufman","Texas",48257,9,0
"30398","2020-04-03","Kendall","Texas",48259,8,0
"30399","2020-04-03","Kerr","Texas",48265,2,0
"30400","2020-04-03","Kleberg","Texas",48273,1,0
"30401","2020-04-03","Lamar","Texas",48277,3,0
"30402","2020-04-03","Lamb","Texas",48279,1,0
"30403","2020-04-03","Lampasas","Texas",48281,1,0
"30404","2020-04-03","Lavaca","Texas",48285,1,0
"30405","2020-04-03","Lee","Texas",48287,2,0
"30406","2020-04-03","Leon","Texas",48289,2,0
"30407","2020-04-03","Liberty","Texas",48291,5,0
"30408","2020-04-03","Limestone","Texas",48293,3,0
"30409","2020-04-03","Live Oak","Texas",48297,3,0
"30410","2020-04-03","Llano","Texas",48299,3,0
"30411","2020-04-03","Lubbock","Texas",48303,117,3
"30412","2020-04-03","Lynn","Texas",48305,3,0
"30413","2020-04-03","Martin","Texas",48317,1,0
"30414","2020-04-03","Matagorda","Texas",48321,36,2
"30415","2020-04-03","Maverick","Texas",48323,4,0
"30416","2020-04-03","McLennan","Texas",48309,49,1
"30417","2020-04-03","Medina","Texas",48325,3,0
"30418","2020-04-03","Midland","Texas",48329,19,1
"30419","2020-04-03","Milam","Texas",48331,2,0
"30420","2020-04-03","Montague","Texas",48337,1,0
"30421","2020-04-03","Montgomery","Texas",48339,119,3
"30422","2020-04-03","Moore","Texas",48341,6,0
"30423","2020-04-03","Morris","Texas",48343,1,0
"30424","2020-04-03","Nacogdoches","Texas",48347,12,1
"30425","2020-04-03","Navarro","Texas",48349,5,1
"30426","2020-04-03","Newton","Texas",48351,1,0
"30427","2020-04-03","Nueces","Texas",48355,41,0
"30428","2020-04-03","Oldham","Texas",48359,2,1
"30429","2020-04-03","Orange","Texas",48361,7,0
"30430","2020-04-03","Palo Pinto","Texas",48363,1,0
"30431","2020-04-03","Panola","Texas",48365,4,1
"30432","2020-04-03","Parker","Texas",48367,5,0
"30433","2020-04-03","Polk","Texas",48373,7,0
"30434","2020-04-03","Potter","Texas",48375,21,0
"30435","2020-04-03","Randall","Texas",48381,21,0
"30436","2020-04-03","Robertson","Texas",48395,2,0
"30437","2020-04-03","Rockwall","Texas",48397,10,0
"30438","2020-04-03","Rusk","Texas",48401,7,0
"30439","2020-04-03","San Augustine","Texas",48405,4,1
"30440","2020-04-03","San Jacinto","Texas",48407,1,0
"30441","2020-04-03","San Patricio","Texas",48409,3,0
"30442","2020-04-03","Shelby","Texas",48419,10,0
"30443","2020-04-03","Smith","Texas",48423,53,1
"30444","2020-04-03","Starr","Texas",48427,5,0
"30445","2020-04-03","Swisher","Texas",48437,1,0
"30446","2020-04-03","Tarrant","Texas",48439,383,7
"30447","2020-04-03","Taylor","Texas",48441,18,0
"30448","2020-04-03","Terry","Texas",48445,4,0
"30449","2020-04-03","Titus","Texas",48449,1,0
"30450","2020-04-03","Tom Green","Texas",48451,10,0
"30451","2020-04-03","Travis","Texas",48453,351,3
"30452","2020-04-03","Upshur","Texas",48459,3,0
"30453","2020-04-03","Uvalde","Texas",48463,4,0
"30454","2020-04-03","Val Verde","Texas",48465,5,0
"30455","2020-04-03","Van Zandt","Texas",48467,3,1
"30456","2020-04-03","Victoria","Texas",48469,27,0
"30457","2020-04-03","Walker","Texas",48471,9,0
"30458","2020-04-03","Waller","Texas",48473,7,0
"30459","2020-04-03","Washington","Texas",48477,17,0
"30460","2020-04-03","Webb","Texas",48479,65,5
"30461","2020-04-03","Wharton","Texas",48481,9,0
"30462","2020-04-03","Wichita","Texas",48485,44,0
"30463","2020-04-03","Willacy","Texas",48489,5,0
"30464","2020-04-03","Williamson","Texas",48491,71,1
"30465","2020-04-03","Wilson","Texas",48493,6,0
"30466","2020-04-03","Wise","Texas",48497,3,0
"30467","2020-04-03","Wood","Texas",48499,1,0
"30468","2020-04-03","Young","Texas",48503,3,0
"32716","2020-04-04","Anderson","Texas",48001,1,0
"32717","2020-04-04","Andrews","Texas",48003,1,0
"32718","2020-04-04","Angelina","Texas",48005,10,0
"32719","2020-04-04","Atascosa","Texas",48013,2,0
"32720","2020-04-04","Austin","Texas",48015,4,0
"32721","2020-04-04","Bastrop","Texas",48021,10,0
"32722","2020-04-04","Bell","Texas",48027,51,1
"32723","2020-04-04","Bexar","Texas",48029,395,11
"32724","2020-04-04","Blanco","Texas",48031,2,0
